STATES,january,february,march,april,may,june,july,august,september,october,november,december
andaman-and-nicobar-islands,228.7,5.6,33,108.3,275.8,349.1,389.4,414.7,372.8,263,205.9,243.7
arunachal-pradesh,8.2,86.2,221.8,348.2,257.1,370.8,437.8,456.4,318.6,227.1,9.9,3.4
meghalaya,3.7,28.7,130.4,432,351.3,1001.6,660.9,1001.5,536.7,304.1,11.9,9.5
nagaland,1.9,0.8,95.9,156.4,165.1,272.1,318.9,257.8,239,173.9,8.5,31.8
manipur,1.1,22.5,87.5,178.7,139.5,150,189.2,279.7,328.9,297.3,2.9,102.7
mizoram,0.3,5,100.5,284.6,169.5,744.3,709.4,1034.1,479.7,280.1,12.9,45.4
tripura,0,20.2,211.5,441.6,267,654.3,408.8,513.7,349.3,359.1,2.6,98.7
sikkim,8.4,20.8,185.7,246.2,237.2,481.3,508,546.8,460.9,168.7,9.6,0
west-bengal,1.4,0.2,40.6,47.6,135.2,238.2,484.3,409.4,234.7,210.6,17,10.8
odisha,1.7,0,29.8,8.7,55.2,209.5,349.7,301.7,192.2,161.1,30,4.8
jharkhand,5.1,0.1,4.5,6.1,55.9,116,492.1,246,134,103.4,2.3,0.2
bihar,0.7,0,22.8,21.8,79.7,84.6,379.9,342.8,129.6,50.1,0,0
uttar-pradesh,14.6,0.5,6,1.8,21,64.2,271,163.4,106.9,2,0,0.7
uttarakhand,36.6,13.5,44.5,52.8,108.2,175.6,460.9,349,213.4,2.8,0.2,18.3
haryana,33.8,0.3,7.2,3.7,10.1,121.8,67.7,74.7,91.8,0,1.8,4.2
chandigarh,137,1.6,22,10.5,5.7,103.1,195.2,309.4,145.1,0,0,14.8
delhi,38.8,0,8.7,22.8,16,103.8,109.7,117,112.1,0,0.1,4.7
punjab,42.4,3,14.5,12.3,12.3,110.8,94.4,122.2,62.7,0,5.2,17.7
himachal-pradesh,157.6,46.3,57.4,88,62,123.1,216.1,273.1,103.4,0.3,6.9,48
jammu-and-kashmir,255.5,106.4,85,156.7,38.5,158.5,180.7,161.4,43.3,0.3,11.3,81.5
rajasthan,7,0.2,4.8,2.2,21.2,85.5,252.3,84.8,32.3,0,0.5,2.5
madhya-pradesh,4.6,4,1.7,0.1,8.8,119.6,319.3,176.1,148.2,15.8,0.6,1.2
gujarat,0,0,0,0,0.1,105.3,477.8,163.8,52.7,9.4,0,5.7
dadra-and-nagar-haveli,0,0,0,0,1.9,748.7,1295.6,700.4,306,121.9,0,0
daman-and-diu,0,0,0,0,0,494.4,872.6,496.5,97.1,44.3,0,8.2
goa,0,0,0,0,54,806.5,833.5,510.6,410.2,148.8,0.6,8.3
maharashtra,0.1,0,3.1,0.3,14.2,238.4,312.3,257.2,199.3,97,2.5,5.1
chhattisgarh,0.9,0.7,3.5,0.8,15.6,184.8,378.3,300.4,177.7,61.6,0.2,0
andhra-pradesh,2.2,0,12.5,8.8,34.7,124.1,110.8,202.1,164,164.2,41,3.8
telangana,0,0,8.7,3.2,22.4,202.2,143.2,204.2,115.3,114.6,1.9,0
tamil-nadu,37,1.1,35.3,17.3,73.7,47.9,41.8,159.4,165.5,155.2,140.2,96.5
puducherry,132.2,0,71.3,0,7.9,57.3,95.3,147,90.2,257.2,521.1,202.9
karnataka,2.5,0,12.9,21.6,99.8,188.1,173.2,193.2,238.6,166.4,10.6,4.8
kerala,12.7,0.3,87.8,52.8,213.3,579.8,378.5,462.6,435.5,228,152.1,61.4
lakshadweep,21.3,0.9,100.2,1.8,145.7,521.9,164.2,206.2,216,137.1,63.5,160.1
assam,3.7,28.7,130.4,432,351.3,1001.6,660.9,1001.5,536.7,304.1,11.9,9.5
ladakh,12.5,57.5,0.8,42.8,2.9,18.7,6.2,6,1.6,0,0,1.8
