STATES,january,february,march,april,may,june,july,august,september,october,november,december
andaman-and-nicobar-islands,126.8,7.6,3.1,138.2,331.9,346.4,328.9,480,523.2,252.1,236.3,129.9
arunachal-pradesh,30.8,47.5,97.5,287.1,238.9,555.7,307,555.4,344.5,56.1,32.5,40.3
assam,11.2,13.4,31,228.5,307,485.6,290.5,477.2,219.4,58.4,14.5,18.4
meghalaya,21.8,22.1,59.3,325.3,406.4,877.2,420.4,1030.5,542.3,85,7.8,3.4
nagaland,30.6,25.2,32.2,184.1,96.9,156.8,249.6,281.8,148.1,100.8,5.1,15.9
manipur,20.2,4.1,7.2,224.6,78.4,193.3,288.7,290.6,130.6,74.7,4.8,4.8
mizoram,12.2,8.9,29.2,242.8,179.4,445.5,375.9,454.6,557.1,144.1,4.3,5.8
tripura,1.9,19.2,13.6,335.6,357.7,304.7,533.2,371,286.1,93.8,3.6,14
sikkim,15.5,27.4,131.6,215.2,417,670.5,433.6,518.8,357.2,92.7,46,23.5
west-bengal,14,6.5,24.3,98.1,109.3,298.7,562.9,354.9,204.5,32.5,5,5.2
odisha,15.1,3.3,10.4,67.6,32.6,238.7,294.8,264,237,24.7,6.2,15.6
jharkhand,12.2,2.6,21.6,55.5,25.5,182.3,429.1,245.5,85,22.3,0.2,3.8
bihar,12.8,1.8,27.2,38.7,39.5,123.8,231.3,288.3,101.7,8.9,0,0
uttar-pradesh,30.8,5.2,55.5,22.5,8.4,86.8,185.2,163.5,23.8,9.9,1.1,4.1
uttarakhand,54.4,62.5,127.3,57.3,38,187,337,305.3,52.6,16.6,2.3,7.2
haryana,12.1,6.6,70.7,34.9,8.3,43.5,127.9,84.4,32,3.8,2.3,0.2
chandigarh,45.2,46.7,119.9,21.6,17.4,63.9,257.9,109.2,117.3,17.7,0.2,0.3
delhi,17.7,1.8,97.9,28.4,11.7,58.9,268.8,244.7,26.1,0.2,1.5,0
punjab,17.7,31.3,68.5,29.8,16.7,48.7,131.6,88.6,69.2,9.2,0.8,0.7
himachal-pradesh,67.5,145.9,191,81.8,42.4,87.9,260.6,215.7,74,17.3,13.1,25.9
jammu-and-kashmir,27.9,187.2,341.4,173.3,64.6,121.4,233.2,129.2,130.2,87.2,37.9,39.3
rajasthan,6.1,0.5,41.7,21.1,10.2,72.3,262.2,97,28.8,2.8,0.5,0.4
madhya-pradesh,38.9,8.4,62.3,18.8,3.9,149.2,355.4,276.6,62.6,22.9,0.7,1
gujarat,1.5,0,5.7,3.9,0.9,135.6,309.2,24.8,99,3.4,0.3,0
dadra-and-nagar-haveli,0.1,0,4.8,0,0,372.5,678.4,307.9,308.6,18.8,0,0
daman-and-diu,0.2,0,5.8,0,0,223,214.5,154.9,290.1,0.6,0,0
goa,3.6,0,43.5,9.3,51.1,785.5,789.8,485.7,292.1,109.2,17.4,0
maharashtra,11.6,2.2,46.9,21.4,16.3,248.5,141.7,177.8,165,34.1,10,0.1
chhattisgarh,15.6,0.9,20.5,36.7,13.6,274.3,249.5,287.8,216.9,18,0.6,1.5
andhra-pradesh,1.6,0.3,7.5,49.2,34.5,146.6,69.8,148.6,158,75.4,222.3,27
telangana,12.2,0,30,56.4,22.6,216.1,79.2,151.4,154.2,22.1,2.3,1.4
tamil-nadu,8.3,2.3,21.7,108.9,112.3,62.5,43.5,81.5,98.5,132.8,378.3,151.2
puducherry,16.2,0.1,0,96.1,133.4,32.1,41.4,122.1,73.9,76.4,785.7,603.3
karnataka,2,0.2,26.3,65.2,91.8,208.1,139.1,149.4,168.1,92.6,78.6,3.6
kerala,3.1,5.8,50.1,214,201.8,563.8,406.2,252.2,293.4,309.9,223.2,79.5
lakshadweep,2.2,0.5,3.7,87.1,133.1,296.7,257.5,146.7,157.5,165.4,230.7,159
ladakh,3.1,2.8,0.9,6,0.9,4.3,26.3,26.1,9.8,0,0,2.1
