STATES,january,february,march,april,may,june,july,august,september,october,november,december
andaman-and-nicobar-islands,167.3,36.2,21.5,90,372.5,518.4,239.1,415.7,395.9,298.9,239.6,318.4
arunachal-pradesh,30.9,67.7,139.5,150.7,269.9,320.7,341.7,247.3,288.8,57.6,60.6,14.8
assam,6.5,16.5,76.7,133.5,229.3,351.9,308.3,265.9,285.9,44.5,20,27.6
meghalaya,1.6,21.8,38.9,174.8,351.2,432.3,565.5,378,304,57.2,3.5,15.5
nagaland,8.8,6.7,47.5,92.9,195.8,217.8,451.2,241.1,133.8,45.5,4.6,35.8
manipur,3.5,5.8,36.1,61.7,178.8,243.4,232.1,161.8,42.7,71.6,1.2,20
mizoram,5.1,2.8,16.8,66.1,282.9,516,446,587.7,222,167.2,3.6,7.2
tripura,5.2,11.3,34.3,221.8,631.6,501.2,239.5,260.6,161.2,85.5,18.6,20.7
sikkim,9.9,47.5,158.7,201.3,333,503.7,597.3,499,556.6,138.2,42.6,17.3
west-bengal,0,2.6,10.8,84.7,132.9,260.1,358.7,269.2,239.5,63.2,2.4,20.1
odisha,0,0.4,1.1,72.8,88.1,155.3,434.7,413.8,286.3,120.3,0.9,56.4
jharkhand,0,3.8,1.3,51.7,52.2,128,275.5,235.1,146.4,23.1,0.4,29.6
bihar,0,0.4,1.6,21.7,44.1,100.3,291.5,266.3,112.8,17.5,0,4.5
uttar-pradesh,1.2,4.4,0.7,14.1,16.6,40.8,299.1,293.1,132.4,2.8,0.3,0.1
uttarakhand,17.5,16.3,24.5,61.3,51.4,162.7,384.2,444.3,205,3.3,20.2,1.6
haryana,5,5.4,0.4,10.5,10.8,71.1,156.1,78.6,130.3,3,1.8,5.3
chandigarh,8.1,47.2,4.2,36.2,13,142.9,263.6,291,295.8,10.7,7.7,6.3
delhi,4.8,0,0,12.2,18.6,57.4,247.6,185.8,148.7,0,3.8,0.5
punjab,9.4,14.7,5.1,12.9,7.2,95.5,166.2,105.3,202.1,4.2,2.7,3.6
himachal-pradesh,9.2,46.4,37.5,58.5,47.3,120,240.1,297,269.8,11.6,37.3,7.5
jammu-and-kashmir,4.4,75.5,59.9,122,60.5,105.9,149.9,221.5,111.9,22,77.6,29.2
rajasthan,0.2,0,0.2,2.5,3.1,74.8,152.8,92,74,0.8,0.1,0.3
madhya-pradesh,0,10.6,0.4,4.9,3.7,125.1,329.6,260.3,158.1,1.4,0.4,2.8
gujarat,0,0,0,0.2,0,45.6,288.4,121.4,29,0.7,0,0
dadra-and-nagar-haveli,0,0,0,0,0,400.7,1206.7,377.2,72.7,3.2,0,0
daman-and-diu,0,0,0,0,0,246.3,1159.6,151.8,29.2,3.2,0,0
goa,0,0,6.5,4.3,103.4,1011.9,854.2,485.7,91.4,95.4,18.5,0
maharashtra,0,8.1,1.2,7,7.9,258.8,353.6,246.6,65,13.8,10.9,3.1
chhattisgarh,0,12.3,0.5,26.1,33.3,159.3,381.6,419.5,143.8,4.1,0,31.6
andhra-pradesh,0.1,2,16.7,24.9,51.7,90.5,117.1,141.3,97.7,46.9,38.7,36.2
telangana,0,2.1,5.4,23.6,40.2,165.5,197,288.8,81.6,17.1,1.4,23.2
tamil-nadu,6.2,10.6,25.8,25.1,108,50.7,60.7,73.6,105.7,157.4,155.9,21.4
puducherry,38.8,1.5,21.8,5.7,20.1,84,18.5,95.6,110.3,257.7,419.1,69.1
karnataka,0,2.3,20.1,33.9,142.7,231.6,234.2,224.8,89.6,78.7,14.1,4.7
kerala,2,15,47.5,117.6,356.6,750,858,822.4,85.6,305.4,131.4,27.2
lakshadweep,10.7,2.1,155.3,47.2,393.3,203.2,139.7,124.4,74.4,152.9,96.7,38.3
ladakh,0,0.3,0.1,1.5,0.4,4.1,11.8,22,35.2,0,0,0
